(1506, 3202, 2690, 2536, 4361, 5301, 1782, 6808, 4250, 5598)->[-4, (3+1*r5), (1+1*r5), 2]
(6583, 4330, 4716, 6221, 2350, 5456, 3095, 953, 2295, 2911)->[(1-1*r5), (-1+1*r5), (-3-1*r5), (3+1*r5)]
(3075, 4900, 2757, 2874, 5202, 4276, 4152, 2458, 2780, 6206)->[(-5-1*r5), -2, 0, (1-1*r5)]
(5346, 4196, 4197, 1447, 936, 4811, 2509, 494, 48, 1395)->[2, -4, (-1-1*r5), (-3-1*r5)]
(1673, 2345, 3371, 1072, 4976, 1394, 3032, 2649, 6588, 4989)->[0, 0, 4, (2+2*r5)]
(4736, 1442, 3586, 3110, 4551, 6860, 5645, 6168, 5916, 6590)->[(-1+1*r5), (3+1*r5), (1-1*r5), (3+1*r5)]
(5761, 1250, 2052, 359, 5800, 1616, 5296, 7162, 5437, 3583)->[(-1-1*r5), (-1+1*r5), -2, (-2-2*r5)]
(1088, 2688, 2693, 3625, 4266, 3179, 5257, 4654, 2294, 5846)->[(-1+1*r5), (-1+1*r5), (3+1*r5), (-3-1*r5)]
(2787, 2055, 5512, 6830, 2896, 4242, 3928, 5757, 670, 1375)->[(1+1*r5), 0, (-3-1*r5), (0-2*r5)]
(3200, 6551, 322, 6281, 4402, 4597, 5238, 3927, 1432, 1275)->[(-5-1*r5), (-1+1*r5), 2, 0]
(3365, 5128, 3246, 3344, 627, 3539, 406, 3288, 6011, 6204)->[(-5-1*r5), 2, 0, (1-1*r5)]
(5089, 1955, 4037, 5707, 3025, 3926, 2136, 3898, 5821, 1407)->[(3+1*r5), -4, -2, (-1-1*r5)]
(3684, 1799, 1960, 2989, 6158, 6285, 1331, 1011, 760, 3643)->[(1-1*r5), (-1+1*r5), (3+1*r5), (-3-1*r5)]
(6880, 3299, 5063, 6667, 5297, 2391, 4472, 6972, 6174, 4575)->[(1+1*r5), 4, (-3-1*r5), 2]
(5792, 7143, 1768, 6664, 1648, 5334, 5527, 6333, 5502, 735)->[(-1-1*r5), 2, (2+2*r5), (-1+1*r5)]
(4807, 5742, 5167, 1873, 3217, 2453, 5815, 2234, 5948, 6430)->[(-1-1*r5), (1-1*r5), -2, (2+2*r5)]
(6048, 3522, 3780, 5542, 2410, 3563, 3028, 6742, 695, 3994)->[(1-1*r5), (-2-2*r5), -2, (-1-1*r5)]
(7078, 3083, 300, 3915, 2734, 2738, 50, 6774, 5723, 827)->[-2, -4, (1+1*r5), (-3-1*r5)]
(2982, 2632, 2856, 5898, 6827, 1108, 118, 663, 4189, 6207)->[2, (3+1*r5), -4, (1+1*r5)]
(2692, 3909, 3461, 5030, 4808, 4906, 652, 6419, 4278, 919)->[(3+1*r5), -4, -2, (1+1*r5)]
(6944, 5953, 7106, 4647, 1353, 726, 601, 3578, 7102, 4799)->[0, (2+2*r5), 4, 0]
(4281, 169, 6640, 1329, 658, 3058, 5908, 6873, 3225, 4446)->[(1-1*r5), (-3-1*r5), (3+1*r5), (1-1*r5)]
(32, 262, 428, 7022, 335, 2192, 950, 5622, 5817, 3835)->[(3+1*r5), (-1-1*r5), -4, 2]
(3489, 3779, 5989, 1159, 4043, 2639, 3855, 1105, 188, 7006)->[(-1+1*r5), (-3-1*r5), (-1+1*r5), (-3-1*r5)]
(1378, 4579, 3881, 5425, 2002, 5969, 5044, 1974, 1366, 2941)->[(1-1*r5), (-3-1*r5), (-3-1*r5), (-1+1*r5)]
(3671, 5385, 5610, 911, 3575, 6809, 5274, 2812, 5213, 5630)->[(1-1*r5), (-5-1*r5), 0, 2]
(2785, 4290, 5471, 5513, 4555, 109, 1144, 1465, 254, 511)->[(-1+1*r5), (-3-1*r5), (1-1*r5), (-3-1*r5)]
(1990, 39, 493, 6542, 2863, 3473, 3250, 4178, 4978, 5115)->[2, (2+2*r5), (1+1*r5), (1-1*r5)]
(738, 3588, 807, 617, 1993, 2260, 5557, 4726, 1850, 4702)->[0, (1-1*r5), (5+1*r5), 2]
(704, 6344, 3530, 3757, 6029, 2518, 409, 218, 4156, 7037)->[-2, (2+2*r5), (1+1*r5), (1-1*r5)]
(2462, 5379, 166, 6022, 6220, 3219, 5372, 5500, 284, 1662)->[(-1-1*r5), 4, (-3-1*r5), 2]
(1344, 4740, 2823, 7081, 5386, 6193, 6356, 1751, 5849, 5946)->[(-1+1*r5), 2, (5+1*r5), 0]
(6304, 4065, 3947, 4397, 6989, 5873, 1042, 2100, 568, 922)->[(-3-1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(4262, 902, 5258, 5866, 2061, 5454, 2447, 3216, 5786, 6238)->[(-1+1*r5), 2, (1+1*r5), (2+2*r5)]
(2296, 1731, 3448, 168, 5256, 6957, 4762, 1016, 602, 5182)->[2, (-1-1*r5), (-3-1*r5), -4]
(6082, 2660, 6630, 2570, 3341, 4538, 4468, 442, 2395, 1887)->[(-3-1*r5), (1-1*r5), (3+1*r5), (-1+1*r5)]
(3554, 4963, 5731, 6027, 2862, 5294, 4496, 2324, 3191, 5212)->[(-1+1*r5), (-2-2*r5), 2, (1+1*r5)]
(3810, 263, 3597, 2321, 4125, 7027, 1236, 7132, 2749, 5758)->[-2, (1-1*r5), (-2-2*r5), (1+1*r5)]
(2381, 1710, 3919, 4525, 5681, 1426, 3704, 699, 5240, 4766)->[(1-1*r5), (3+1*r5), (1-1*r5), (3+1*r5)]
(194, 3843, 1356, 4879, 7087, 4307, 4533, 4155, 5628, 3165)->[(1+1*r5), (-2-2*r5), (1-1*r5), 2]
(3720, 459, 6731, 1746, 1586, 4787, 2263, 5561, 3580, 3678)->[0, 2, (-1+1*r5), (5+1*r5)]
(1502, 709, 6956, 1357, 3442, 6642, 3188, 982, 3160, 1534)->[(-3-1*r5), -4, 2, (1+1*r5)]
(642, 5335, 4971, 2764, 1709, 1810, 1239, 4602, 6235, 4221)->[(-3-1*r5), (1-1*r5), (3+1*r5), (1-1*r5)]
(2851, 490, 1835, 4334, 1235, 1174, 5751, 6330, 2108, 5662)->[(3+1*r5), (1-1*r5), (3+1*r5), (-1+1*r5)]
