(514, 133, 645, 524, 792, 938, 432, 435, 182, 185, 58, 701, 66, 835, 968, 980, 598, 474, 92, 1120, 353, 356, 232, 1128, 1006, 752, 499, 118, 249, 378)->[(1-1*r5), -2, (1+1*r5), 0]
(515, 1029, 904, 1033, 778, 1180, 799, 1184, 162, 802, 165, 935, 433, 569, 699, 190, 577, 585, 333, 461, 601, 740, 231, 1002, 111, 368, 751, 372, 376, 125)->[0, 4, 0, 0]
(641, 4, 135, 648, 1165, 143, 1168, 530, 275, 1174, 414, 1065, 431, 560, 194, 323, 1096, 457, 1103, 988, 221, 94, 990, 743, 760, 244, 500, 248, 765, 255)->[0, 2, (-1+1*r5), (1+1*r5)]
(1, 262, 141, 16, 531, 21, 1050, 283, 1178, 798, 158, 804, 1191, 172, 813, 325, 838, 970, 715, 977, 1109, 1111, 1118, 735, 736, 97, 1122, 355, 484, 1124)->[(-1-1*r5), 2, 0, (-1+1*r5)]
(133, 517, 142, 526, 272, 527, 146, 1043, 540, 285, 30, 924, 1061, 938, 558, 1070, 435, 697, 830, 468, 980, 1108, 727, 600, 611, 998, 752, 625, 114, 1020)->[-2, 0, (1+1*r5), (1-1*r5)]
(388, 774, 776, 1034, 11, 12, 139, 1038, 1166, 404, 149, 789, 1188, 933, 679, 687, 48, 561, 306, 64, 581, 458, 719, 220, 96, 870, 999, 874, 631, 635)->[(-1-1*r5), (1-1*r5), -2, 0]
(896, 266, 784, 274, 278, 26, 28, 672, 421, 677, 39, 686, 178, 54, 442, 191, 705, 578, 69, 837, 462, 595, 599, 88, 859, 354, 370, 755, 636, 895)->[(-1+1*r5), 0, -2, (-1-1*r5)]
(256, 1157, 265, 12, 782, 148, 150, 407, 158, 933, 1191, 46, 561, 306, 57, 64, 962, 1091, 325, 713, 969, 342, 982, 472, 473, 735, 1122, 112, 753, 1137)->[(-1-1*r5), 0, (1-1*r5), 2]
(130, 772, 521, 394, 1037, 1167, 785, 402, 1042, 532, 1170, 665, 27, 157, 29, 429, 815, 305, 181, 193, 449, 579, 70, 330, 90, 991, 867, 995, 617, 754)->[2, 0, (1+1*r5), (1-1*r5)]
(7, 10, 269, 1169, 147, 403, 22, 286, 287, 800, 676, 552, 302, 303, 958, 586, 714, 210, 854, 217, 604, 865, 866, 868, 359, 492, 748, 371, 116, 890)->[(1+1*r5), (-1+1*r5), -2, 0]
(1157, 780, 528, 407, 536, 408, 281, 667, 546, 805, 40, 1066, 434, 691, 308, 453, 711, 979, 340, 342, 741, 869, 110, 239, 112, 113, 753, 1135, 501, 508)->[(1-1*r5), 0, -2, (1+1*r5)]
(770, 1028, 518, 136, 904, 778, 1033, 145, 401, 918, 669, 1054, 1186, 422, 553, 1067, 311, 956, 332, 461, 845, 211, 860, 357, 231, 871, 873, 1000, 1007, 506)->[0, (1+1*r5), 2, (1-1*r5)]
(385, 7, 137, 1164, 270, 920, 666, 155, 287, 1059, 552, 175, 692, 1076, 439, 448, 1088, 964, 582, 586, 971, 847, 336, 223, 738, 866, 108, 369, 374, 510)->[(1+1*r5), (1-1*r5), -2, 0]
(2, 388, 139, 1038, 668, 936, 556, 49, 53, 1079, 965, 1094, 79, 80, 338, 85, 1143, 89, 220, 993, 996, 360, 877, 1136, 242, 115, 628, 631, 1145, 381)->[(-1-1*r5), -2, 0, (1-1*r5)]
(385, 650, 395, 270, 784, 151, 666, 1052, 1182, 672, 289, 1197, 945, 178, 562, 692, 818, 191, 65, 833, 971, 1099, 983, 859, 992, 610, 483, 124, 638, 511)->[2, -2, -2, -2]
(1152, 132, 5, 772, 144, 1171, 295, 554, 684, 559, 305, 575, 193, 710, 328, 73, 591, 469, 90, 863, 864, 995, 615, 106, 618, 236, 876, 373, 382, 127)->[(-1+1*r5), 0, 2, (-1-1*r5)]
(131, 899, 389, 134, 775, 264, 153, 794, 31, 41, 175, 1199, 177, 50, 1075, 1076, 439, 954, 202, 593, 470, 1112, 734, 738, 619, 875, 1133, 369, 1142, 764)->[(1+1*r5), -2, 0, (-1+1*r5)]
